position,player_name,team,minutes,score,value_eurm
GK,Lawrence Ati Zigi,Ghana,189,89.0,1.5
DEF,Abdülker Bardakci,Türkiye,274,78.5,4.7
DEF,Pedro Antonio Porro,Spain,579,77.0,90.7
DEF,Nico Cédric Schlotterbeck,Germany,184,75.4,55.0
MID,Sebastian Matthew Berhalter,USA,206,79.5,8.0
MID,Pape Alassane Gueye,Senegal,237,75.5,40.0
MID,Nathan-Dylan Saliba,Canada,185,75.3,7.5
MID,Malik Leon Tillman,USA,378,74.5,30.0
MID,Moisés Isaac Caicedo,Ecuador,370,73.8,14.3
FWD,Lionel Andrés Messi,Argentina,765,82.7,15.0
FWD,Iliman Cheikh Baroy Ndiaye,Senegal,120,82.6,55.0
